bbl,exemptions,registered_stabilized_apts,pluto_apts,estimated_gross_income,estimated_expenses
2030370108,421a (25 yr not cap,,3,,
2030370109,421a (25 yr not cap,,3,,
2030370110,421a (25 yr not cap,,3,,
2030410005,421a (25 yr not cap,,3,,
2030410006,421a (25 yr not cap,,3,,
1016590144,new mult dwellings - 421a,10,9,108000,
1017110111,421a (25 yr not cap,,8,99680,
1017240014,421a (25 yr not cap,,8,82189,
1017530126,421a (25 yr not cap,8,8,97000,
1016390027,421a (25 yr not cap,,15,648900,164000
1016390043,421a (25 yr not cap,24,24,497070,124268
1016390057,421a (25 yr not cap,43,43,471060,200200
1017880035,421a (25 yr not cap,,20,27000,11600
2028770350,421a (25 yr not cap,,3,,
2028770436,421a (25 yr not cap,,3,,
2028770550,421a (25 yr not cap,,3,,
2028780078,421a (25 yr not cap,,3,,
2028780079,421a (25 yr not cap,,3,,
2028780080,421a (25 yr not cap,,3,,
2028780081,421a (25 yr not cap,,3,,
2028780082,421a (25 yr not cap,,3,,
2028870030,421a (15 yr not cap),,3,,
2028870031,421a (15 yr not cap),,3,,
2029120025,421a (25 yr not cap,,4,,
2029120026,421a (25 yr not cap,,4,,
2029330026,421a (25 yr not cap,,3,,
2029450028,421a (25 yr not cap,,3,,
2029450029,421a (25 yr not cap,,3,,
2029450030,421a (25 yr not cap,,3,,
2029450032,421a (25 yr not cap,,3,,
2029450033,421a (25 yr not cap,,3,,
2029460034,421a (25 yr not cap,,3,,
2029460059,421a (25 yr not cap,,3,,
2029470041,421a (25 yr not cap,,3,,
2029470042,421a (25 yr not cap,,3,,
2029470043,421a (25 yr not cap,,3,,
2030660008,421a (25 yr not cap,,3,,
2030660012,421a (25 yr not cap,,3,,
2030660112,421a (25 yr not cap,,3,,
2030660145,421a (25 yr not cap,,3,,
2030660146,421a (25 yr not cap,,3,,
2030660147,421a (25 yr not cap,,3,,
2030680013,421a (25 yr not cap,,3,,
2030680015,421a (25 yr not cap,,3,,
2030680032,421a (25 yr not cap,,3,,
2030830037,421a (25 yr not cap,,3,,
2030830038,421a (25 yr not cap,,3,,
2030830039,421a (25 yr not cap,,3,,
2030830040,421a (25 yr not cap,,3,,
2030880155,421a (25 yr not cap,,3,,
2030880156,421a (25 yr not cap,,3,,
2030880157,421a (25 yr not cap,,3,,
2030900039,421a (25 yr not cap,,3,,
2030900040,421a (25 yr not cap,,3,,
2030900041,421a (25 yr not cap,,3,,
2030900042,421a (25 yr not cap,,3,,
2031020021,421a (25 yr not cap,,4,,
2031020022,421a (25 yr not cap,,4,,
2031020023,421a (25 yr not cap,,4,,
2031050030,421a (25 yr not cap,,3,,
2031050031,421a (25 yr not cap,,3,,
2031050113,421a (25 yr not cap,,3,,
2031170106,421a (15 yr not cap),,4,,
2031170107,421a (15 yr not cap),,4,,
2031170108,421a (15 yr not cap),,4,,
2031170109,421a (15 yr not cap),,4,,
2031170110,421a (15 yr not cap),,4,,
2031170111,421a (15 yr not cap),,4,,
2031170112,421a (15 yr not cap),,4,,
2031170113,421a (15 yr not cap),,4,,
2031170114,421a (15 yr not cap),,4,,
2031220159,421a (25 yr not cap,,3,,
2031220160,421a (25 yr not cap,,3,,
2031220161,421a (25 yr not cap,,3,,
2031220162,421a (25 yr not cap,,3,,
2031230001,421a (25 yr not cap,,3,,
2031230005,421a (25 yr not cap,,3,,
2031230006,421a (25 yr not cap,,3,,
2031230007,421a (25 yr not cap,,3,,
2031230008,421a (25 yr not cap,,3,,
2031330111,421a (25 yr not cap,,3,,
2031330112,421a (25 yr not cap,,3,,
2031330113,421a (25 yr not cap,,3,,
2031440002,421a (25 yr not cap,,3,,
2031440003,421a (25 yr not cap,,3,,
2031720014,421a (25 yr not cap,,3,,
2031810014,421a (25 yr not cap,,4,,
2031960004,421a (25 yr not cap,,3,,
2031960006,421a (25 yr not cap,,3,,
2031960008,421a (25 yr not cap,,3,,
2031960108,421a (25 yr not cap,,3,,
2031960109,421a (25 yr not cap,,3,,
2031960110,421a (25 yr not cap,,3,,
2032140136,421a (25 yr not cap,,3,,
2032140137,421a (25 yr not cap,,3,,
2032140138,421a (25 yr not cap,,3,,
2032140139,421a (25 yr not cap,,3,,
2032140140,421a (25 yr not cap,,3,,
2032140141,421a (25 yr not cap,,3,,
2032140142,421a (25 yr not cap,,3,,
2032140143,421a (25 yr not cap,,3,,
2032140147,421a (25 yr not cap,,3,,
2032140148,421a (25 yr not cap,,3,,
2032140149,421a (25 yr not cap,,3,,
1018480025,421a (25 yr not cap,,4,100000,
1018790136,421a (20 yr not cap,,5,127010,
1019280005,421a (15 yr not cap),,6,50000,
1017890001,421a (25 yr not cap,18,18,1.17445e+06,466317
1017890021,421a (25 yr not cap,185,185,5.25486e+06,1.77247e+06
1017950035,421a (25 yr not cap,,41,740261,136645
1017960020,421a (25 yr not cap,,70,2.91868e+06,466010
1018070041,421a (15 yr not cap),,12,217800,54450
1018200058,421a (25 yr not cap,18,18,650430,139528
1018210055,421a (25 yr not cap,29,29,256808,166916
1018250043,421a (25 yr not cap,21,21,1.0213e+06,269577
1018280063,421a (25 yr not cap,30,30,730440,164282
2030680139,421a (25 yr not cap,,3,,
2030680140,421a (25 yr not cap,,3,,
2030680141,421a (25 yr not cap,,3,,
2030680142,421a (25 yr not cap,,3,,
2030680143,421a (25 yr not cap,,3,,
2030680191,421a (25 yr not cap,,3,,
1019530005,421a (15 yr not cap),,12,263288,73784
2030690051,421a (25 yr not cap,,3,,
2030690106,421a (25 yr not cap,,3,,
2030700315,421a (25 yr not cap,,3,,
2030700316,421a (25 yr not cap,,3,,
2030730054,421a (25 yr not cap,,3,,
2030730056,421a (25 yr not cap,,3,,
2030730058,421a (25 yr not cap,,3,,
1019540036,421a (25 yr not cap,,70,1.9694e+06,502198
1020120012,421a (25 yr not cap,9,19,476997,139410
1020340029,421a (25 yr not cap,25,25,735160,196657
1020430007,421a (25 yr not cap,20,20,211965,43837
1020450028,421a (25 yr not cap,,14,505035,202014
2030800068,421a (25 yr not cap,,3,,
2030820044,421a (25 yr not cap,,3,,
2030820045,421a (25 yr not cap,,3,,
2030830035,421a (25 yr not cap,,3,,
2030830036,421a (25 yr not cap,,3,,
2032140156,421a (25 yr not cap,,3,,
2032140157,421a (25 yr not cap,,3,,
2032140158,421a (25 yr not cap,,3,,
2032140159,421a (25 yr not cap,,3,,
2032150057,421a (25 yr not cap,,3,,
2032150058,421a (25 yr not cap,,3,,
2032150059,421a (25 yr not cap,,3,,
2032250176,421a (25 yr not cap,,3,,
2032490181,421a (25 yr not cap,,3,,
2032560030,421a (25 yr not cap,,3,,
2032560031,421a (25 yr not cap,,3,,
2032560097,421a (25 yr not cap,,3,,
2032560098,421a (25 yr not cap,,3,,
2032560099,421a (25 yr not cap,,3,,
2032610057,421a (25 yr not cap,,3,,
2035110007,421a (25 yr not cap,,3,,
2035120094,421a (25 yr not cap,,3,,
2035120096,421a (25 yr not cap,,3,,
2035120097,421a (25 yr not cap,,3,,
2035120098,421a (25 yr not cap,,3,,
2035120099,421a (25 yr not cap,,3,,
2035120100,421a (25 yr not cap,,3,,
2035240012,421a (25 yr not cap,,3,,
2035260160,421a (25 yr not cap,,3,,
2035260164,421a (25 yr not cap,,3,,
2035570016,421a (25 yr not cap,,3,,
2035570017,421a (25 yr not cap,,3,,
2035600146,421a (25 yr not cap,,3,,
2036070015,421a (25 yr not cap,,3,,
2036070016,421a (25 yr not cap,,3,,
2036070017,421a (25 yr not cap,,3,,
2036070018,421a (25 yr not cap,,3,,
2036070019,421a (25 yr not cap,,3,,
2036070020,421a (25 yr not cap,,3,,
2036070021,421a (25 yr not cap,,3,,
2036070023,421a (25 yr not cap,,3,,
2036070024,421a (25 yr not cap,,3,,
2036070025,421a (25 yr not cap,,3,,
2036070026,421a (25 yr not cap,,3,,
2036070027,421a (25 yr not cap,,3,,
2036070028,421a (25 yr not cap,,3,,
2036600034,421a (25 yr not cap,,3,,
2036800053,421a (25 yr not cap,,3,,
2036800054,421a (25 yr not cap,,3,,
2036800153,421a (25 yr not cap,,3,,
2037120007,421a (25 yr not cap,,3,,
2037120008,421a (25 yr not cap,,3,,
2037120009,421a (25 yr not cap,,3,,
2037120010,421a (25 yr not cap,,3,,
2037120011,421a (25 yr not cap,,3,,
2037120012,421a (25 yr not cap,,3,,
2037120013,421a (25 yr not cap,,3,,
2037130057,421a (25 yr not cap,,3,,
2037130058,421a (25 yr not cap,,3,,
2037130059,421a (25 yr not cap,,3,,
2037130060,421a (25 yr not cap,,3,,
2037130061,421a (25 yr not cap,,3,,
2037130062,421a (25 yr not cap,,3,,
2037130063,421a (25 yr not cap,,3,,
2037130064,421a (25 yr not cap,,3,,
2037130065,421a (25 yr not cap,,3,,
2037130066,421a (25 yr not cap,,3,,
2037130067,421a (25 yr not cap,,3,,
2037130068,421a (25 yr not cap,,3,,
2037560134,421a (25 yr not cap,,3,,
2037610132,421a (25 yr not cap,,3,,
2037610134,421a (25 yr not cap,,3,,
2037610135,421a (25 yr not cap,,3,,
2037610136,421a (25 yr not cap,,3,,
2037610137,421a (25 yr not cap,,3,,
2037610138,421a (25 yr not cap,,3,,
2037610139,421a (25 yr not cap,,3,,
2037610140,421a (25 yr not cap,,3,,
2037610141,421a (25 yr not cap,,3,,
2037610142,421a (25 yr not cap,,3,,
1021730043,421a (25 yr not cap,8,8,57600,
1021730044,421a (25 yr not cap,8,8,57600,
1021740098,421a (25 yr not cap,,5,58171,
1021740099,421a (25 yr not cap,,5,88090,
1021740100,421a (25 yr not cap,,5,88090,
1021740199,421a (25 yr not cap,,5,88090,
1022410006,421a (25 yr not cap,,6,71596,
